Domain,#,Kingdom,#,Phylum,#,Class,#,Order,#,Family,#
,,,,Pospiviroid,1,Holosporaceae,4,Kordiimonadales,2,Yadokariviridae,2
,,,,Hostuviroid,1,Desulfocapsaceae,4,Desulfurobacteriales,2,Andrewesvirinae,2
,,,,Avsunviroid,1,Verrucomicrobiaceae,4,Chlamydiales,2,Saparoviridae,2
,,,,Coleviroid,1,Desulfobulbaceae,4,Thermodesulfovibrionales,2,Aliceevansviridae,2
,,,,Pithovirus,1,Enterococcaceae,4,Natranaerobiales,2,Sulfurisphaera,1
,,,,Negevirus,1,Desulfitobacteriaceae,4,Glycomycetales,2,Geoglobus,1
,,,,Aumaivirus,1,Agaricomycotina,4,Gloeobacterales,2,Thermogladius,1
,,,,Papanivirus,1,Conoidasida,4,Acidaminococcales,2,Pyrodictium,1
,,,,Sarthroviridae,1,Archaeoglobaceae,3,sulfur-oxidizing symbionts,2,Methanomethylophilus,1
,,,,Virtovirus,1,Pyrodictiaceae,3,Bacteriovoracales,2,Sulfuracidifex,1
,,,,Albetovirus,1,Nitrosopumilaceae,3,Ochrophyta,2,Nitrosocosmicus,1
,,,,Deltasatellite,1,Thermococcaceae,3,Kinetoplastea,2,Pyrobaculum,1
,,,,Alphaovalivirus,1,Dermatophilaceae,3,Hytrosaviridae,2,Methanomassiliicoccus,1
,,,,Alphaportoglobovirus,1,Nocardiaceae,3,Conexivisphaerales,1,Infirmifilum,1
,,,,Elaviroid,1,Frankiaceae,3,Candidatus Nitrosocaldales,1,Methanoplasma,1
,,,,Alphafusellovirus,1,Orbaceae,3,Candidatus Micrarchaeales,1,Ignicoccus,1
,,,,Nutorquevirus,1,Synergistaceae,3,Methanopyri,1,Vulcanisaeta,1
,,,,Polymycoviridae,1,Prochlorococcaceae,3,Candidatus Nanohalobiales,1,Sulfodiicoccus,1
,,,,Nitmarvirus,1,Alcanivoracaceae,3,Nanobdellales,1,Cuniculiplasma,1
,,,,Salterprovirus,1,Streptococcaceae,3,Candidatus Lokiarchaeia,1,Thermoproteus,1
,,,,Globulovirus,1,Saccharospirillaceae,3,Candidatus Methanoliparales,1,Conexivisphaera,1
,,,,Bottigliavirus,1,Parachlamydiaceae,3,Methanonatronarchaeales,1,Nitrosomarinus,1
,,,,Gyrovirus,1,Azonexaceae,3,Aciduliprofundum,1,Caldisphaera,1
,,,,Zetatorquevirus,1,Geodermatophilaceae,3,Fervidicoccales,1,Candidatus Nitrosocaldus,1
,,,,Gammatorquevirus,1,Promicromonosporaceae,3,Fimbriimonadales,1,Methanothermaceae,1
,,,,Betatorquevirus,1,Catalimonadaceae,3,Steffania,1,Methanospirillaceae,1
,,,,Iotatorquevirus,1,Methylocystaceae,3,Magnetococcales,1,Methanotrichaceae,1
,,,,Kappatorquevirus,1,Spongiibacteraceae,3,Nasuia,1,Nitrosarchaeum,1
,,,,Epsilontorquevirus,1,Breznakiellaceae,3,Geitlerinematales,1,Thermofilum,1
,,,,Deltatorquevirus,1,Parvularculaceae,3,Gloeomargaritales,1,Desulfurococcus,1
,,,,Alphatorquevirus,1,Acidiferrobacteraceae,3,Nodosilineales,1,Staphylothermus,1
,,,,Aleptorquevirus,1,Dermabacteraceae,3,Acidithiobacillales,1,Candidatus Micrarchaeum,1
,,,,Chitorquevirus,1,Dysgonomonadaceae,3,Kiritimatiellales,1,Saccharolobus,1
,,,,Etatorquevirus,1,Pseudoalteromonadaceae,3,Kineosporiales,1,Methanopyraceae,1
,,,,Lambdatorquevirus,1,Fusobacteriaceae,3,Nitrospinia,1,Acidilobus,1
,,,,Mutorquevirus,1,Anaerolineaceae,3,Candidatus Saccharimonadales,1,Candidatus Nanohalobium,1
,,,,Omegatorquevirus,1,Aquaspirillaceae,3,Caldilineales,1,Nanobdella,1
,,,,Rhotorquevirus,1,Hyphomonadaceae,3,Dictyoglomales,1,Candidatus Prometheoarchaeaceae,1
,,,,Sigmatorquevirus,1,Anaerovoracaceae,3,Endomicrobiales,1,Methanofervidicoccus,1
,,,,Tettorquevirus,1,Acutalibacteraceae,3,Candidatus Pseudothioglobus,1,Candidatus Methanoliparum,1
,,,,Thetatorquevirus,1,Muribaculaceae,3,Mesoaciditogales,1,Methanonatronarchaeum,1
,,,,Wawtorquevirus,1,Sutterellaceae,3,Balneolales,1,Thermococcus,1
,,,,Xitorquevirus,1,Candidatus Midichloriaceae,3,Bryobacterales,1,Nitrosopumilus,1
,,,,Bicaudavirus,1,Hafniaceae,3,Sedimenticola,1,Stygiolobus,1
